2022-08-13T08:24:14+00:00 CRITICAL Out of memory (allocated 39845888) (tried to allocate 90112 bytes) у C:\OpenServer\domains\life4bra\wp-content\plugins\woocommerce\src\Admin\PluginsHelper.php доступно 13

2022-08-13T10:54:52+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:54:54+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:54:54+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:54:54+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:54:54+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:54:55+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:55:02+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:55:09+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:55:09+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:55:11+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

2022-08-13T10:55:11+00:00 CRITICAL syntax error, unexpected end of file у C:\OpenServer\domains\life4bra\wp-content\themes\storefront-child\functions.php доступно 25

